Force, Ch B, Run #1
Time ( s )	Force ( N )
0.0000	36.19
0.1000	39.31
0.2000	39.44
0.3000	41.68
0.4000	40.83
0.5000	45.77
0.6000	46.43
0.7000	43.97
0.8000	46.81
0.9000	47.83
1.0000	48.46
1.1000	48.94
1.2000	49.58
1.3000	46.08
1.4000	46.70
1.5000	46.88
1.6000	48.23
1.7000	48.51
1.8000	47.20
1.9000	47.93
2.0000	40.30
2.1000	39.52
2.2000	41.59
2.3000	39.73
2.4000	44.25
2.5000	46.79
2.6000	47.74
2.7000	48.26
2.8000	47.97
2.9000	47.81
3.0000	45.43
3.1000	47.53
3.2000	47.67
3.3000	47.80
3.4000	46.71
3.5000	47.23
3.6000	47.32
3.7000	47.93
3.8000	46.07
3.9000	46.05
4.0000	46.77
4.1000	46.75
4.2000	47.03
4.3000	47.26
4.4000	48.84
4.5000	47.98
4.6000	49.06
4.7000	48.46
4.8000	49.06
4.9000	49.01
5.0000	49.39
5.1000	48.25
5.2000	48.22
5.3000	48.88
5.4000	48.91
5.5000	49.20
5.6000	49.74
5.7000	49.67
5.8000	50.71
5.9000	51.12
6.0000	50.40
6.1000	50.20
6.2000	46.06
6.3000	44.31
6.4000	38.72
6.5000	38.86
6.6000	44.85
6.7000	46.18
6.8000	45.70
6.9000	45.07
7.0000	44.87
7.1000	46.04
7.2000	47.15
7.3000	47.21
7.4000	45.38
7.5000	44.61
7.6000	45.65
7.7000	43.26
7.8000	46.49
7.9000	46.07
8.0000	45.32
8.1000	45.55
8.2000	44.46
8.3000	42.01
8.4000	44.19
8.5000	41.02
8.6000	42.68
8.7000	43.97
8.8000	42.63
8.9000	37.20
9.0000	37.52
9.1000	33.04
9.2000	41.03
9.3000	41.77
9.4000	42.32
9.5000	43.38
9.6000	41.91
9.7000	43.78
9.8000	42.25
9.9000	43.73
10.0000	45.58
10.1000	43.06
10.2000	42.61
10.3000	41.71
10.4000	45.25
10.5000	45.93
10.6000	46.24
10.7000	46.82
10.8000	47.20
10.9000	46.79
11.0000	46.76
11.1000	47.39
11.2000	47.05
11.3000	47.65
11.4000	47.99
11.5000	44.39
11.6000	42.29
11.7000	43.11
11.8000	42.39
11.9000	42.73
12.0000	42.68
12.1000	42.98
12.2000	44.75
12.3000	43.36
12.4000	43.44
12.5000	44.77
12.6000	44.92
12.7000	44.62
12.8000	43.66
12.9000	44.63
13.0000	45.90
13.1000	44.74
13.2000	45.52
13.3000	45.41
13.4000	44.80
13.5000	44.34
13.6000	45.34
13.7000	45.71
13.8000	44.71
13.9000	44.85
14.0000	43.60
14.1000	42.98
14.2000	42.40
14.3000	45.32
14.4000	45.16
14.5000	45.86
14.6000	46.71
14.7000	46.76
14.8000	46.45
14.9000	45.99
15.0000	46.46
15.1000	46.83
15.2000	46.75
15.3000	46.11
15.4000	46.43
15.5000	45.37
15.6000	46.67
15.7000	45.10
15.8000	46.67
15.9000	45.41
16.0000	47.20
16.1000	47.07
16.2000	47.83
16.3000	48.35
16.4000	48.27
16.5000	48.12
16.6000	44.79
16.7000	44.48
16.8000	45.85
16.9000	47.11
17.0000	47.01
17.1000	46.77
17.2000	46.78
17.3000	43.26
17.4000	44.85
17.5000	44.91
17.6000	46.72
17.7000	46.70
17.8000	46.82
17.9000	31.53
18.0000	37.56
18.1000	40.73
18.2000	39.89
18.3000	42.72
18.4000	36.35
18.5000	40.75
18.6000	40.36
18.7000	42.84
18.8000	41.80
18.9000	41.68
19.0000	35.20
19.1000	44.54
19.2000	40.50
19.3000	31.48
19.4000	32.32
19.5000	34.77
19.6000	35.05
19.7000	32.37
19.8000	32.49
19.9000	31.32
20.0000	35.30
20.1000	42.76
20.2000	53.45
20.3000	53.17
20.4000	51.91
20.5000	44.76
20.6000	44.49
20.7000	48.88
20.8000	47.78
20.9000	50.10
21.0000	51.35
21.1000	49.16
21.2000	44.86
21.3000	45.08
21.4000	44.45
21.5000	43.74
21.6000	42.62
21.7000	45.24
21.8000	47.64
21.9000	50.18
22.0000	48.76
22.1000	49.62
22.2000	48.56
22.3000	49.57
22.4000	49.64
22.5000	48.85
22.6000	45.49
22.7000	46.65
22.8000	48.46
22.9000	47.23
23.0000	46.80
23.1000	47.90
23.2000	47.69
23.3000	48.02
23.4000	47.84
23.5000	46.62
23.6000	46.47
23.7000	47.32
23.8000	48.88
23.9000	49.34
24.0000	45.78
24.1000	47.16
24.2000	47.13
24.3000	44.73
24.4000	45.75
24.5000	42.94
24.6000	42.02
24.7000	42.86
24.8000	46.27
24.9000	47.11
25.0000	46.88
25.1000	43.70
25.2000	43.91
25.3000	45.03
25.4000	47.79
25.5000	47.48
25.6000	47.45
25.7000	47.81
25.8000	47.24
25.9000	45.48
26.0000	43.38
26.1000	42.19
26.2000	44.50
26.3000	45.47
26.4000	45.66
26.5000	45.61
26.6000	46.00
26.7000	44.94
26.8000	43.74
26.9000	38.04
27.0000	43.76
27.1000	42.97
27.2000	45.13
27.3000	44.66
27.4000	45.16
27.5000	44.36
27.6000	44.31
27.7000	44.61
27.8000	41.49
27.9000	45.76
28.0000	46.35
28.1000	46.59
28.2000	45.62
28.3000	46.44
28.4000	46.56
28.5000	47.50
28.6000	47.65
28.7000	47.85
28.8000	48.02
28.9000	47.95
29.0000	47.81
29.1000	48.43
29.2000	48.54
29.3000	49.10
29.4000	48.80
29.5000	46.49
29.6000	46.44
29.7000	47.09
29.8000	49.59
29.9000	39.37
30.0000	40.43
30.1000	43.74
30.2000	45.89
