Force, Ch B, Run #1
Time ( s )	Force ( N )
2.0000	14.0500
2.1000	14.2369
2.2000	14.3246
2.3000	13.8134
2.4000	14.4353
2.5000	14.3933
2.6000	14.7061
2.7000	14.5840
2.8000	14.1949
2.9000	14.1987
3.0000	14.4772
3.1000	14.3666
3.2000	13.8134
3.3000	14.1949
3.4000	14.3170
3.5000	14.1873
3.6000	14.4658
3.7000	13.0543
3.8000	13.5083
3.9000	14.2941
4.0000	13.5769
4.1000	13.6685
4.2000	13.9317
4.3000	12.7071
4.4000	12.5774
4.5000	13.4930
4.6000	13.6418
4.7000	11.9823
4.8000	12.3104
4.9000	13.0543
5.0000	12.4821
5.1000	12.3257
5.2000	12.7834
5.3000	12.7644
5.4000	12.8445
5.5000	13.2870
5.6000	13.6036
5.7000	12.6232
5.8000	12.8674
5.9000	13.8020
6.0000	13.2031
6.1000	13.5464
6.2000	13.6265
6.3000	13.8096
6.4000	13.8630
6.5000	13.6685
6.6000	13.0505
6.7000	11.2308
6.8000	11.7725
6.9000	12.1006
7.0000	11.5665
7.1000	11.7458
7.2000	10.2084
7.3000	10.9409
7.4000	10.3038
7.5000	10.0444
7.6000	10.3687
7.7000	10.8837
7.8000	10.5441
7.9000	11.3605
8.0000	11.0858
8.1000	11.0057
8.2000	11.4177
8.3000	11.5780
8.4000	10.4068
8.5000	10.6777
8.6000	10.8074
8.7000	10.8074
8.8000	10.8837
8.9000	11.1812
9.0000	10.8150
9.1000	10.5823
9.2000	10.7501
9.3000	10.9485
9.4000	11.8145
9.5000	11.4139
9.6000	11.6428
9.7000	11.8412
9.8000	12.4516
9.9000	12.8788
10.0000	12.8521
10.1000	12.7796
10.2000	13.2412
10.3000	13.1878
10.4000	13.4854
10.5000	13.6532
10.6000	13.6837
10.7000	13.0161
10.8000	12.8636
10.9000	13.0848
11.0000	13.2870
11.1000	12.7796
11.2000	13.3175
11.3000	13.5388
11.4000	13.1458
11.5000	13.4129
11.6000	13.6189
11.7000	13.6837
11.8000	14.1835
11.9000	14.1758
12.0000	14.4429
12.1000	13.9622
12.2000	14.3628
12.3000	14.6756
12.4000	14.5039
12.5000	14.9121
12.6000	14.9541
12.7000	14.7938
12.8000	14.9655
12.9000	15.1601
13.0000	14.7290
13.1000	14.6146
13.2000	14.6985
13.3000	12.3791
13.4000	-49.6651
13.5000	-49.6574
13.6000	-49.6612
13.7000	-49.6612
13.8000	-49.6651
13.9000	-49.6612
14.0000	-49.6574
14.1000	-49.6574
14.2000	-49.6612
14.3000	-49.6612
14.4000	-49.6574
14.5000	-49.6651
14.6000	-49.6574
14.7000	-49.6612
14.8000	-49.6651
14.9000	-49.6651
15.0000	-49.6612
15.1000	-49.6651
15.2000	-49.6612
15.3000	-49.6612
15.4000	-49.6574
15.5000	-49.6612
15.6000	-49.6612
15.7000	-49.6536
15.8000	-49.6574
15.9000	-49.6536
16.0000	-49.6536
16.1000	-49.6574
16.2000	-49.6651
16.3000	-49.6536
16.4000	-49.6574
16.5000	-49.6612
16.6000	-49.6574
16.7000	-49.6498
16.8000	-49.6498
16.9000	-49.6574
17.0000	-49.6574
17.1000	-49.6536
17.2000	-49.6498
17.3000	-49.6536
17.4000	-49.6536
17.5000	-49.6536
17.6000	-49.6574
17.7000	-49.6574
17.8000	-49.6498
17.9000	-49.6612
18.0000	-49.6498
18.1000	-49.6536
18.2000	-49.6574
